Timestamp,Detection Status,Number of Circles
2025-03-13 08:46:10.804511,Missed,0
2025-03-13 08:46:11.074785,Missed,0
2025-03-13 08:46:11.324021,Missed,0
2025-03-13 08:46:11.563511,Missed,0
2025-03-13 08:46:11.807719,Missed,0
2025-03-13 08:46:12.081026,Missed,0
2025-03-13 08:46:12.335612,Missed,0
2025-03-13 08:46:12.571201,Detected,1
2025-03-13 08:46:12.828800,Missed,0
2025-03-13 08:46:13.063429,Missed,0
2025-03-13 08:46:13.306586,Missed,0
2025-03-13 08:46:13.572835,Missed,0
2025-03-13 08:46:13.842730,Missed,0
2025-03-13 08:46:14.106420,Missed,0
2025-03-13 08:46:14.372585,Missed,0
2025-03-13 08:46:14.628626,Missed,0
2025-03-13 08:46:14.872528,Missed,0
2025-03-13 08:46:15.134424,Missed,0
2025-03-13 08:46:15.383765,Missed,0
2025-03-13 08:46:15.639858,Missed,0
2025-03-13 08:46:15.904675,Detected,1
2025-03-13 08:46:16.119674,Missed,0
2025-03-13 08:46:16.357501,Missed,0
2025-03-13 08:46:16.601511,Missed,0
2025-03-13 08:46:16.869543,Missed,0
2025-03-13 08:46:17.120523,Missed,0
2025-03-13 08:46:17.359757,Missed,0
2025-03-13 08:46:17.599429,Missed,0
2025-03-13 08:46:17.841770,Missed,0
2025-03-13 08:46:18.100255,Missed,0
2025-03-13 08:46:18.372888,Missed,0
2025-03-13 08:46:18.711925,Missed,0
2025-03-13 08:46:19.001559,Missed,0
2025-03-13 08:46:19.258680,Missed,0
2025-03-13 08:46:19.495836,Missed,0
2025-03-13 08:46:19.734782,Missed,0
2025-03-13 08:46:20.000688,Missed,0
2025-03-13 08:46:20.233982,Missed,0
2025-03-13 08:46:20.638871,Missed,0
2025-03-13 08:46:20.986078,Missed,0
2025-03-13 08:46:21.278298,Missed,0
2025-03-13 08:46:21.593385,Missed,0
2025-03-13 08:46:21.865441,Missed,0
2025-03-13 08:46:22.083166,Missed,0
2025-03-13 08:46:22.322154,Missed,0
2025-03-13 08:46:22.566882,Missed,0
2025-03-13 08:46:22.893099,Missed,0
2025-03-13 08:46:23.168098,Missed,0
2025-03-13 08:46:23.415261,Missed,0
2025-03-13 08:46:23.650236,Missed,0
2025-03-13 08:46:23.896275,Missed,0
2025-03-13 08:46:24.160774,Missed,0
2025-03-13 08:46:24.453837,Missed,0
2025-03-13 08:46:24.697665,Missed,0
2025-03-13 08:46:24.930049,Missed,0
2025-03-13 08:46:25.160121,Missed,0
2025-03-13 08:46:25.398808,Missed,0
2025-03-13 08:46:25.636046,Missed,0
2025-03-13 08:46:25.897019,Missed,0
